nx	ny	datetime	s_wht	meanwdir	peak_fr	mean_fr	ustar	wind_dir	cdg	wind_speed	depth	maxwh	maxwp	swe_h	meansdir	meansfr	wsea_h	wsead	wsea_fr	msp1	msp2	mwseap1	mwseap2
470	584	2007-01-01 00:00:00	5.62	218.325	0.112	0.123	1.067	235.315	0	20.613	29	11.619	7.701	0.94	156.834	0.103	5.544	219.891	0.124	9.419	9.189	7.58	7.161
470	584	2007-01-01 01:00:00	5.62	221.234	0.112	0.124	1.094	235.315	0.003	20.613	29	11.654	7.658	0.85	157.87	0.101	5.559	222.532	0.125	9.597	9.388	7.538	7.109
470	584	2007-01-01 02:00:00	5.44	225.758	0.115	0.124	0.899	272.999	0.002	19.116	29	11.311	7.637	3.02	191.301	0.113	4.53	240.816	0.13	8.546	8.278	7.189	6.769
470	584	2007-01-01 03:00:00	5.19	232.19	0.111	0.125	0.879	272.999	0.002	19.116	29	10.629	7.609	2.64	190.967	0.112	4.461	246.208	0.13	8.659	8.466	7.207	6.813
470	584	2007-01-01 04:00:00	5.12	241.408	0.11	0.126	0.882	272.999	0.002	19.116	29	10.479	7.551	2.27	191.077	0.112	4.585	252.991	0.13	8.662	8.468	7.233	6.839
470	584	2007-01-01 05:00:00	5.18	253.433	0.109	0.124	0.848	275.244	0.002	18.708	29	10.594	7.672	1.92	191.706	0.113	4.812	262.041	0.126	8.581	8.361	7.462	7.066
470	584	2007-01-01 06:00:00	5.25	264.475	0.11	0.121	0.842	275.244	0.002	18.708	29	10.758	7.846	1.55	191.428	0.113	5.02	269.918	0.122	8.606	8.374	7.702	7.299
470	584	2007-01-01 07:00:00	5.35	273.429	0.111	0.119	0.846	275.244	0.002	18.708	29	11.005	8.01	1.25	193.493	0.111	5.197	276.551	0.119	8.748	8.539	7.894	7.479
470	584	2007-01-01 08:00:00	5.51	281.673	0.111	0.115	0.783	277.283	0.002	17.592	29	11.338	8.238	1.18	212.734	0.105	5.384	283.36	0.116	9.116	8.887	8.123	7.7
470	584	2007-01-01 09:00:00	5.55	286.773	0.107	0.113	0.775	277.283	0.002	17.592	29	11.331	8.406	1.14	263.183	0.097	5.427	287.212	0.114	9.852	9.573	8.274	7.84
470	584	2007-01-01 10:00:00	5.43	288.731	0.106	0.113	0.776	277.283	0.002	17.592	29	11.047	8.376	1.05	294.518	0.094	5.325	288.621	0.114	10.126	9.826	8.238	7.79
470	584	2007-01-01 11:00:00	5.32	290.177	0.107	0.114	0.769	283.143	0.002	17.416	29	10.869	8.284	0.82	261.3	0.103	5.251	290.454	0.115	9.046	8.645	8.184	7.727
470	584	2007-01-01 12:00:00	5.24	291.516	0.108	0.116	0.772	283.143	0.002	17.416	29	10.732	8.196	0.76	285.77	0.102	5.18	291.565	0.116	9.155	8.758	8.095	7.642
470	584	2007-01-01 13:00:00	5.16	292.337	0.108	0.117	0.775	283.143	0.002	17.416	29	10.604	8.11	0.73	308.51	0.101	5.113	292.182	0.117	9.325	8.944	8.005	7.554
470	584	2007-01-01 14:00:00	4.94	292.359	0.109	0.118	0.652	275.389	0.002	15.227	29	10.061	8.04	1.31	325.498	0.096	4.76	290.167	0.12	10.091	9.815	7.83	7.384
470	584	2007-01-01 15:00:00	4.63	292.029	0.109	0.119	0.645	275.389	0.002	15.227	29	9.415	7.952	1.35	327.99	0.096	4.43	289.03	0.121	10.12	9.866	7.703	7.247
470	584	2007-01-01 16:00:00	4.42	291.654	0.11	0.12	0.645	275.389	0.002	15.227	29	8.962	7.821	1.4	329.962	0.096	4.189	287.775	0.124	10.124	9.884	7.528	7.059
470	584	2007-01-01 17:00:00	4.08	291.453	0.11	0.121	0.484	256.464	0.002	12.219	29	8.241	7.711	2.97	309.402	0.107	2.793	270.899	0.144	9.123	8.939	6.41	5.974
470	584	2007-01-01 18:00:00	3.66	291.07	0.111	0.123	0.481	256.464	0.002	12.219	29	7.344	7.551	2.63	312.447	0.106	2.543	267.85	0.148	9.144	8.969	6.206	5.776
470	584	2007-01-01 19:00:00	3.39	289.596	0.111	0.127	0.484	256.464	0.002	12.219	29	6.772	7.303	2.36	315.408	0.107	2.435	265.202	0.153	9.108	8.934	5.996	5.57
470	584	2007-01-01 20:00:00	3.26	289.157	0.113	0.13	0.51	288.069	0.002	12.864	29	6.521	7.102	1.68	314.111	0.109	2.796	282.652	0.139	8.422	7.846	6.573	6.09
470	584	2007-01-01 21:00:00	3.24	290.257	0.12	0.133	0.516	288.069	0.002	12.864	29	6.532	6.974	1.58	314.367	0.11	2.822	284.906	0.142	8.397	7.891	6.482	6.013
470	584	2007-01-01 22:00:00	3.24	291.332	0.123	0.135	0.519	288.069	0.002	12.864	29	6.572	6.891	1.49	315.997	0.111	2.879	286.69	0.143	8.435	7.999	6.439	5.982
470	584	2007-01-01 23:00:00	3.29	291.426	0.128	0.136	0.574	276.637	0.002	13.843	29	6.72	6.823	1.33	329.344	0.106	3.008	285.225	0.144	9	8.71	6.392	5.95
