nx	ny	datetime	s_wht	meanwdir	peak_fr	mean_fr	ustar	wind_dir	cdg	wind_speed	depth	maxwh	maxwp	swe_h	meansdir	meansfr	wsea_h	wsead	wsea_fr	msp1	msp2	mwseap1	mwseap2
470	584	2002-01-01 00:00:00	1.87	314.181	0.156	0.171	0.387	293.777	0	10.021	29	3.841	5.388	1.06	344.165	0.137	1.547	300.279	0.194	6.976	6.754	4.673	4.291
470	584	2002-01-01 01:00:00	1.92	314.091	0.153	0.168	0.386	293.777	0.001	10.021	29	3.928	5.475	1.1	342.637	0.135	1.573	300.097	0.192	7.102	6.892	4.728	4.341
470	584	2002-01-01 02:00:00	1.95	314.76	0.148	0.165	0.368	288.679	0.001	9.648	29	3.978	5.592	1.28	339.474	0.135	1.48	295.821	0.196	7.128	6.917	4.61	4.235
470	584	2002-01-01 03:00:00	1.99	315.389	0.141	0.161	0.366	288.679	0.001	9.648	29	4.014	5.708	1.35	338.944	0.132	1.46	294.515	0.197	7.298	7.097	4.601	4.227
470	584	2002-01-01 04:00:00	2.01	315.359	0.134	0.158	0.366	288.679	0.001	9.648	29	4.043	5.781	1.39	338.337	0.13	1.455	293.424	0.197	7.415	7.217	4.596	4.223
470	584	2002-01-01 05:00:00	2.04	313.555	0.132	0.158	0.405	280.643	0.002	10.45	29	4.103	5.78	1.38	339.103	0.129	1.51	291.024	0.194	7.464	7.259	4.65	4.268
470	584	2002-01-01 06:00:00	2.08	310.663	0.132	0.159	0.409	280.643	0.002	10.45	29	4.175	5.749	1.36	338.334	0.128	1.576	289.074	0.193	7.539	7.336	4.68	4.3
470	584	2002-01-01 07:00:00	2.1	308.341	0.132	0.159	0.409	280.643	0.002	10.45	29	4.22	5.743	1.33	337.42	0.127	1.621	287.754	0.192	7.578	7.364	4.728	4.348
470	584	2002-01-01 08:00:00	2.15	306.036	0.134	0.16	0.457	279.769	0.002	11.375	29	4.324	5.73	1.27	338.215	0.125	1.734	288.272	0.187	7.711	7.508	4.845	4.452
470	584	2002-01-01 09:00:00	2.22	304.17	0.136	0.16	0.463	279.769	0.002	11.375	29	4.482	5.732	1.26	337.45	0.124	1.825	287.935	0.185	7.806	7.597	4.899	4.505
470	584	2002-01-01 10:00:00	2.27	303.304	0.149	0.159	0.463	279.769	0.002	11.375	29	4.664	5.77	1.27	336.762	0.123	1.885	287.922	0.183	7.866	7.649	4.966	4.569
470	584	2002-01-01 11:00:00	2.32	303.125	0.148	0.157	0.469	282.394	0.002	11.508	29	4.768	5.825	1.21	337.716	0.121	1.982	290.232	0.177	7.933	7.633	5.121	4.713
470	584	2002-01-01 12:00:00	2.38	303.399	0.146	0.155	0.466	282.394	0.002	11.508	29	4.863	5.899	1.32	335.475	0.121	1.978	289.14	0.178	7.994	7.744	5.113	4.718
470	584	2002-01-01 13:00:00	2.42	303.84	0.145	0.153	0.464	282.394	0.002	11.508	29	4.959	5.981	1.36	335.13	0.119	2.009	289.498	0.176	8.087	7.837	5.174	4.777
470	584	2002-01-01 14:00:00	2.48	304.801	0.143	0.151	0.471	289.195	0.002	11.679	29	5.082	6.066	1.32	335.291	0.116	2.108	293.232	0.171	8.289	7.996	5.327	4.916
470	584	2002-01-01 15:00:00	2.57	306.019	0.141	0.149	0.471	289.195	0.002	11.679	29	5.243	6.166	1.37	335.456	0.114	2.168	294.413	0.169	8.427	8.162	5.405	4.995
470	584	2002-01-01 16:00:00	2.64	307.082	0.139	0.146	0.47	289.195	0.002	11.679	29	5.394	6.266	1.44	335.789	0.113	2.218	295.143	0.167	8.554	8.303	5.473	5.06
470	584	2002-01-01 17:00:00	2.74	307.47	0.137	0.144	0.512	285.996	0.002	12.483	29	5.583	6.345	1.41	338.848	0.11	2.348	296.146	0.163	8.782	8.519	5.613	5.186
470	584	2002-01-01 18:00:00	2.84	307.616	0.135	0.142	0.515	285.996	0.002	12.483	29	5.784	6.417	1.48	339.083	0.108	2.423	295.865	0.161	8.902	8.638	5.658	5.228
470	584	2002-01-01 19:00:00	2.92	308.144	0.134	0.14	0.515	285.996	0.002	12.483	29	5.949	6.511	1.55	339.372	0.107	2.472	295.744	0.16	9.035	8.764	5.707	5.276
470	584	2002-01-01 20:00:00	2.98	309.607	0.133	0.137	0.491	293.142	0.002	12.061	29	6.082	6.63	1.63	338.395	0.105	2.497	297.669	0.158	9.162	8.834	5.778	5.345
470	584	2002-01-01 21:00:00	3.01	311.593	0.132	0.134	0.487	293.142	0.002	12.061	29	6.147	6.758	1.72	338.995	0.103	2.477	298.552	0.158	9.345	9.03	5.803	5.37
470	584	2002-01-01 22:00:00	3.04	313.267	0.131	0.132	0.486	293.142	0.002	12.061	29	6.191	6.861	1.8	339.542	0.101	2.446	298.959	0.158	9.511	9.202	5.791	5.356
470	584	2002-01-01 23:00:00	3.02	315.212	0.13	0.129	0.432	294.237	0.002	11.011	29	6.126	6.976	2	337.731	0.102	2.26	297.565	0.163	9.39	9.069	5.627	5.205
470	584	2002-01-02 00:00:00	2.96	317.292	0.128	0.126	0.428	294.237	0.002	11.011	29	5.991	7.089	2.04	338.611	0.1	2.144	297.678	0.164	9.524	9.19	5.562	5.141
470	584	2002-01-02 01:00:00	2.92	318.933	0.084	0.124	0.428	294.237	0.002	11.011	29	5.57	7.164	2.06	339.453	0.099	2.059	297.707	0.167	9.641	9.294	5.472	5.051
470	584	2002-01-02 02:00:00	2.81	321.542	0.084	0.121	0.299	303.518	0.001	8.312	29	5.365	7.325	2.54	326.467	0.11	1.204	300.038	0.214	8.415	8.023	4.267	3.946
470	584	2002-01-02 03:00:00	2.68	324.576	0.083	0.117	0.295	303.518	0.001	8.312	29	5.113	7.531	2.47	328.812	0.108	1.04	300.672	0.223	8.532	8.121	4.116	3.815
470	584	2002-01-02 04:00:00	2.57	326.662	0.083	0.115	0.295	303.518	0.001	8.312	29	4.915	7.634	2.38	330.746	0.107	0.966	301.597	0.225	8.625	8.199	4.043	3.739
