nx	ny	datetime	s_wht	meanwdir	peak_fr	mean_fr	ustar	wind_dir	cdg	wind_speed	depth	maxwh	maxwp	swe_h	meansdir	meansfr	wsea_h	wsead	wsea_fr	msp1	msp2	mwseap1	mwseap2
470	584	2005-01-01 00:00:00	1.41	297.247	0.076	0.149	0.331	239.978	0	8.454	29	2.648	5.318	1.11	332.34	0.116	0.859	238.81	0.285	7.369	6.736	3.2	2.954
470	584	2005-01-01 01:00:00	1.45	289.251	0.079	0.154	0.328	239.978	0.002	8.454	29	2.752	5.196	1.11	331.262	0.117	0.94	237.871	0.272	7.227	6.587	3.368	3.115
470	584	2005-01-01 02:00:00	1.5	283.071	0.08	0.158	0.356	242.623	0.002	9.155	29	2.841	5.134	1.08	332.454	0.116	1.042	239.245	0.257	7.354	6.724	3.566	3.305
470	584	2005-01-01 03:00:00	1.56	278.443	0.081	0.162	0.356	242.623	0.002	9.155	29	2.954	5.103	1.08	330.195	0.119	1.123	241.155	0.247	7.223	6.642	3.722	3.451
470	584	2005-01-01 04:00:00	1.62	277.012	0.203	0.164	0.351	242.623	0.001	9.155	29	3.489	5.143	1.13	324.53	0.123	1.163	244.441	0.238	7.017	6.524	3.856	3.573
470	584	2005-01-01 05:00:00	1.73	274.272	0.201	0.166	0.42	239.249	0.002	10.6	29	3.751	5.192	1.11	326.87	0.121	1.332	243.267	0.224	7.328	6.877	4.103	3.804
470	584	2005-01-01 06:00:00	1.87	270.547	0.186	0.167	0.424	239.249	0.002	10.6	29	3.951	5.271	1.16	322.857	0.123	1.468	243.299	0.214	7.326	6.947	4.288	3.976
470	584	2005-01-01 07:00:00	1.99	267.369	0.177	0.165	0.421	239.249	0.002	10.6	29	4.201	5.406	1.19	319.415	0.124	1.6	243.797	0.203	7.357	7.016	4.529	4.198
470	584	2005-01-01 08:00:00	2.11	264	0.169	0.163	0.421	236.117	0.002	10.709	29	4.45	5.556	1.24	314.053	0.125	1.705	241.531	0.194	7.382	7.079	4.742	4.404
470	584	2005-01-01 09:00:00	2.2	260.592	0.167	0.161	0.418	236.117	0.002	10.709	29	4.622	5.683	1.25	310.512	0.124	1.813	241.09	0.187	7.483	7.2	4.944	4.594
470	584	2005-01-01 10:00:00	2.24	258.367	0.159	0.159	0.417	236.117	0.002	10.709	29	4.687	5.76	1.23	307.405	0.124	1.871	240.961	0.182	7.575	7.302	5.06	4.699
470	584	2005-01-01 11:00:00	2.27	256.09	0.157	0.159	0.441	225.472	0.002	11.166	29	4.732	5.779	1.29	302.063	0.125	1.865	236.885	0.182	7.502	7.24	5.043	4.677
470	584	2005-01-01 12:00:00	2.3	253.613	0.157	0.159	0.445	225.472	0.002	11.166	29	4.798	5.777	1.29	299.677	0.125	1.903	235.215	0.182	7.572	7.337	5.046	4.675
470	584	2005-01-01 13:00:00	2.33	251.845	0.156	0.159	0.443	225.472	0.002	11.166	29	4.863	5.797	1.3	297.517	0.125	1.935	234.139	0.181	7.627	7.409	5.079	4.716
470	584	2005-01-01 14:00:00	2.39	248.266	0.156	0.16	0.53	212.423	0.002	12.795	29	5.004	5.777	1.31	295.938	0.126	2.002	230.075	0.18	7.527	7.276	5.092	4.715
470	584	2005-01-01 15:00:00	2.48	242.595	0.157	0.161	0.546	212.423	0.002	12.795	29	5.195	5.744	1.27	294.721	0.125	2.127	226.548	0.179	7.623	7.401	5.124	4.743
470	584	2005-01-01 16:00:00	2.55	237.498	0.157	0.161	0.546	212.423	0.002	12.795	29	5.374	5.771	1.21	293.165	0.124	2.252	224.222	0.176	7.701	7.492	5.24	4.865
470	584	2005-01-01 17:00:00	2.8	233.888	0.156	0.16	0.718	224.463	0.002	15.833	29	5.91	5.833	0.77	319.017	0.112	2.688	229.54	0.166	8.281	7.831	5.57	5.18
470	584	2005-01-01 18:00:00	3.16	232.118	0.153	0.157	0.761	224.463	0.002	15.833	29	6.797	5.976	0.68	321.613	0.109	3.091	229.68	0.16	8.458	8.005	5.78	5.391
470	584	2005-01-01 19:00:00	3.47	230.604	0.134	0.153	0.761	224.463	0.002	15.833	29	7.26	6.183	0.62	321.577	0.108	3.416	229.079	0.155	8.522	8.022	6.026	5.646
470	584	2005-01-01 20:00:00	3.62	232.959	0.133	0.148	0.62	256.849	0.002	14.285	29	7.538	6.409	1.21	187.623	0.134	3.417	237.258	0.15	6.756	6.217	6.268	5.915
470	584	2005-01-01 21:00:00	3.71	236.09	0.13	0.144	0.607	256.849	0.002	14.285	29	7.684	6.586	1.43	192.977	0.127	3.423	242.439	0.148	7.476	7.14	6.36	6.01
470	584	2005-01-01 22:00:00	3.71	238.911	0.126	0.142	0.604	256.849	0.002	14.285	29	7.638	6.67	1.38	193.435	0.124	3.445	245.058	0.146	7.694	7.406	6.437	6.075
470	584	2005-01-01 23:00:00	3.68	243.646	0.123	0.142	0.759	271.732	0.002	17.208	29	7.544	6.649	1.41	195.343	0.129	3.397	250.738	0.145	7.285	6.909	6.447	6.059
470	584	2005-01-02 00:00:00	3.71	250.148	0.138	0.144	0.801	271.732	0.002	17.208	29	7.788	6.553	1.2	196.365	0.127	3.507	255.325	0.146	7.465	7.134	6.353	5.938
470	584	2005-01-02 01:00:00	3.91	256.978	0.138	0.143	0.83	271.732	0.002	17.208	29	8.257	6.593	1.03	196.871	0.124	3.77	260.448	0.145	7.661	7.37	6.423	6.006
470	584	2005-01-02 02:00:00	4.28	265.478	0.122	0.138	0.84	285.69	0.002	17.564	29	8.876	6.842	1.31	208.092	0.126	4.077	270.493	0.14	7.571	7.263	6.675	6.259
470	584	2005-01-02 03:00:00	4.58	272.837	0.12	0.133	0.833	285.69	0.002	17.564	29	9.475	7.113	1.17	209.522	0.123	4.425	276.399	0.134	7.755	7.452	6.979	6.559
470	584	2005-01-02 04:00:00	4.87	279.642	0.117	0.127	0.817	285.69	0.002	17.564	29	10.074	7.443	0.98	211.297	0.121	4.769	281.788	0.128	7.901	7.586	7.339	6.918
470	584	2005-01-02 05:00:00	5.22	284.675	0.114	0.121	0.793	275.311	0.002	17.395	29	10.79	7.844	0.72	263.445	0.104	5.173	284.841	0.121	9.091	8.786	7.742	7.316
470	584	2005-01-02 06:00:00	5.43	286.653	0.113	0.117	0.783	275.311	0.002	17.395	29	11.218	8.127	0.74	315.975	0.096	5.378	286.327	0.117	9.969	9.636	8.021	7.595
470	584	2005-01-02 07:00:00	5.47	287.159	0.109	0.115	0.773	275.311	0.002	17.395	29	11.281	8.28	0.75	325.918	0.091	5.422	286.607	0.115	10.559	10.223	8.168	7.739
470	584	2005-01-02 08:00:00	5.59	287.298	0.108	0.114	0.873	276.969	0.002	19.121	29	11.504	8.34	0.61	333.223	0.09	5.56	286.873	0.114	10.536	10.166	8.24	7.795
470	584	2005-01-02 09:00:00	5.74	287.438	0.107	0.113	0.888	276.969	0.002	19.121	29	11.754	8.359	0.58	333.639	0.087	5.71	287.058	0.114	10.803	10.361	8.257	7.801
470	584	2005-01-02 10:00:00	5.8	287.558	0.107	0.113	0.893	276.969	0.002	19.121	29	11.873	8.358	0.59	334.015	0.087	5.765	287.163	0.114	10.876	10.431	8.255	7.798
470	584	2005-01-02 11:00:00	5.81	288.347	0.107	0.113	0.868	282.502	0.002	18.755	29	11.918	8.376	0.57	331.038	0.089	5.786	288.058	0.114	10.318	9.568	8.28	7.829
470	584	2005-01-02 12:00:00	5.83	289.734	0.107	0.113	0.859	282.502	0.002	18.755	29	11.956	8.431	0.64	334.283	0.087	5.798	289.311	0.113	10.706	10.109	8.331	7.888
470	584	2005-01-02 13:00:00	5.88	291.25	0.106	0.112	0.854	282.502	0.002	18.755	29	12.031	8.506	0.77	336.59	0.085	5.825	290.583	0.112	11.214	10.765	8.392	7.949
470	584	2005-01-02 14:00:00	5.93	293.627	0.105	0.11	0.828	289.358	0.002	18.252	29	12.117	8.618	0.87	332.483	0.083	5.871	292.965	0.111	11.408	10.812	8.49	8.027
470	584	2005-01-02 15:00:00	5.98	296.234	0.104	0.108	0.827	289.358	0.002	18.252	29	12.15	8.733	1.06	336.277	0.08	5.883	295.122	0.109	12.057	11.644	8.571	8.096
470	584	2005-01-02 16:00:00	6	298.217	0.101	0.107	0.828	289.358	0.002	18.252	29	12.103	8.805	1.17	337.796	0.078	5.882	296.802	0.109	12.412	12.101	8.615	8.127
470	584	2005-01-02 17:00:00	6.01	299.864	0.1	0.107	0.83	292.087	0.002	18.271	29	12.07	8.841	0.9	339.012	0.076	5.939	299.096	0.108	12.531	11.974	8.691	8.189
470	584	2005-01-02 18:00:00	6	301.185	0.099	0.107	0.83	292.087	0.002	18.271	29	12.042	8.852	0.89	340.351	0.076	5.936	300.414	0.108	12.682	12.198	8.701	8.198
470	584	2005-01-02 19:00:00	5.99	302.02	0.099	0.107	0.829	292.087	0.002	18.271	29	12.019	8.85	0.86	341.529	0.076	5.932	301.276	0.108	12.728	12.291	8.703	8.201
470	584	2005-01-02 20:00:00	5.9	302.478	0.099	0.107	0.752	292.791	0.002	16.986	29	11.817	8.857	1.1	339.081	0.078	5.795	301.252	0.108	12.525	12.229	8.675	8.182
470	584	2005-01-02 21:00:00	5.72	302.68	0.099	0.107	0.742	292.791	0.002	16.986	29	11.442	8.846	1.06	339.36	0.078	5.616	301.456	0.108	12.452	12.159	8.665	8.173
470	584	2005-01-02 22:00:00	5.57	302.684	0.099	0.107	0.741	292.791	0.002	16.986	29	11.149	8.788	1.03	339.568	0.079	5.478	301.466	0.109	12.338	12.027	8.607	8.105
470	584	2005-01-02 23:00:00	5.35	303.255	0.099	0.108	0.637	297.564	0.002	15.127	29	10.687	8.734	1.23	334.089	0.083	5.21	301.707	0.11	11.574	11.128	8.521	8.018
470	584	2005-01-03 00:00:00	5.1	304.028	0.1	0.109	0.632	297.564	0.002	15.127	29	10.167	8.652	1.39	330.109	0.083	4.907	302.066	0.112	11.637	11.273	8.38	7.883
470	584	2005-01-03 01:00:00	4.91	304.317	0.1	0.111	0.633	297.564	0.002	15.127	29	9.791	8.506	1.26	330.399	0.084	4.744	302.613	0.113	11.38	10.98	8.256	7.749
470	584	2005-01-03 02:00:00	4.67	304.328	0.102	0.112	0.555	291.086	0.002	13.676	29	9.337	8.375	2.19	327.032	0.093	4.13	297.968	0.119	10.549	10.383	7.803	7.306
