nx	ny	datetime	s_wht	meanwdir	peak_fr	mean_fr	ustar	wind_dir	cdg	wind_speed	depth	maxwh	maxwp	swe_h	meansdir	meansfr	wsea_h	wsead	wsea_fr	msp1	msp2	mwseap1	mwseap2
470	584	2008-01-01 00:00:00	1.43	153.276	0.203	0.222	0.348	153.253	0	9.866	29	3.094	4.299	0.51	149.405	0.193	1.334	153.625	0.228	5.019	4.909	4.041	3.755
470	584	2008-01-01 01:00:00	1.47	153.459	0.198	0.215	0.386	153.253	0.002	9.866	29	3.181	4.443	0.45	143.444	0.191	1.401	154.019	0.218	4.977	4.753	4.228	3.923
470	584	2008-01-01 02:00:00	1.38	153.774	0.193	0.208	0.221	150.584	0.001	6.475	29	2.925	4.59	1.22	154.651	0.191	0.657	150.9	0.293	5.075	4.959	3.124	2.9
470	584	2008-01-01 03:00:00	1.24	154.083	0.191	0.205	0.217	150.584	0.001	6.475	29	2.596	4.645	1.12	154.934	0.19	0.537	150.566	0.306	5.09	4.957	3	2.795
470	584	2008-01-01 04:00:00	1.13	154.402	0.19	0.206	0.217	150.584	0.001	6.475	29	2.366	4.619	1.02	155.408	0.19	0.504	150.439	0.31	5.097	4.963	2.95	2.74
470	584	2008-01-01 05:00:00	1.05	154.687	0.19	0.206	0.184	136.506	0.001	5.652	29	2.182	4.593	0.98	156.837	0.195	0.368	138.75	0.362	4.927	4.771	2.544	2.371
470	584	2008-01-01 06:00:00	0.98	154.836	0.19	0.207	0.184	136.506	0.001	5.652	29	2.036	4.584	0.92	157.384	0.194	0.353	136.666	0.364	4.94	4.787	2.523	2.349
470	584	2008-01-01 07:00:00	0.94	154.846	0.19	0.207	0.184	136.506	0.001	5.652	29	1.936	4.566	0.87	157.771	0.194	0.349	135.416	0.367	4.957	4.804	2.504	2.329
470	584	2008-01-01 08:00:00	0.94	152.253	0.19	0.211	0.259	118.733	0.001	7.447	29	1.926	4.447	0.74	167.185	0.187	0.569	125.902	0.273	5.139	4.967	3.221	2.922
470	584	2008-01-01 09:00:00	0.97	146.645	0.19	0.218	0.264	118.733	0.001	7.447	29	1.999	4.296	0.72	166.183	0.185	0.659	123.367	0.277	5.208	5.052	3.211	2.931
470	584	2008-01-01 10:00:00	1.02	140.724	0.19	0.221	0.266	118.733	0.001	7.447	29	2.09	4.249	0.71	162.7	0.184	0.729	120.812	0.273	5.237	5.089	3.284	3.004
470	584	2008-01-01 11:00:00	1.14	132.998	0.192	0.222	0.376	123.917	0.001	9.785	29	2.359	4.24	0.43	183.306	0.186	1.055	126.744	0.23	5.092	4.859	3.883	3.538
470	584	2008-01-01 12:00:00	1.3	126.712	0.193	0.218	0.382	123.917	0.002	9.785	29	2.723	4.345	0.45	165.474	0.185	1.224	123.816	0.223	5.106	4.856	4.049	3.715
470	584	2008-01-01 13:00:00	1.4	122.634	0.191	0.211	0.378	123.917	0.001	9.785	29	2.961	4.488	0.49	127.135	0.181	1.313	122.327	0.217	5.244	5.005	4.212	3.884
470	584	2008-01-01 14:00:00	1.37	119.251	0.189	0.206	0.266	123.03	0.001	7.467	29	2.88	4.612	0.97	113.752	0.18	0.969	123.644	0.239	5.373	5.242	3.794	3.487
470	584	2008-01-01 15:00:00	1.28	115.32	0.188	0.203	0.261	123.03	0.001	7.467	29	2.676	4.675	0.95	106.511	0.179	0.861	123.695	0.241	5.403	5.271	3.759	3.452
470	584	2008-01-01 16:00:00	1.21	111.307	0.188	0.203	0.261	123.03	0.001	7.467	29	2.522	4.668	0.91	99.038	0.179	0.797	123.733	0.245	5.419	5.291	3.671	3.361
470	584	2008-01-01 17:00:00	1.18	107.766	0.188	0.206	0.305	116.17	0.001	8.435	29	2.448	4.583	0.72	84.801	0.175	0.931	116.814	0.23	5.503	5.345	3.911	3.569
470	584	2008-01-01 18:00:00	1.17	105.438	0.19	0.211	0.309	116.17	0.001	8.435	29	2.438	4.467	0.69	76.711	0.175	0.949	115.463	0.236	5.493	5.331	3.809	3.479
470	584	2008-01-01 19:00:00	1.17	104.092	0.193	0.215	0.31	116.17	0.001	8.435	29	2.417	4.384	0.66	69.943	0.176	0.964	114.897	0.24	5.447	5.271	3.766	3.449
470	584	2008-01-01 20:00:00	1.17	104.145	0.199	0.218	0.325	122.311	0.001	8.756	29	2.444	4.326	0.62	59.978	0.176	0.993	117.301	0.241	5.436	5.243	3.765	3.459
470	584	2008-01-01 21:00:00	1.19	104.886	0.208	0.219	0.326	122.311	0.001	8.756	29	2.528	4.303	0.62	57.262	0.175	1.023	118.171	0.242	5.452	5.251	3.774	3.481
470	584	2008-01-01 22:00:00	1.22	104.887	0.21	0.218	0.325	122.311	0.001	8.756	29	2.598	4.323	0.63	56.045	0.173	1.047	118.602	0.241	5.521	5.315	3.801	3.516
470	584	2008-01-01 23:00:00	1.23	104.586	0.21	0.215	0.304	134.027	0.001	8.331	29	2.622	4.376	0.74	62.381	0.176	0.984	125.845	0.246	5.398	5.186	3.725	3.448
470	584	2008-01-02 00:00:00	1.23	104.391	0.21	0.211	0.303	134.027	0.001	8.331	29	2.623	4.435	0.76	61.436	0.172	0.97	128.148	0.246	5.519	5.326	3.724	3.443
470	584	2008-01-02 01:00:00	1.24	104.095	0.209	0.208	0.303	134.027	0.001	8.331	29	2.624	4.483	0.78	60.55	0.17	0.965	129.483	0.245	5.613	5.426	3.723	3.438
470	584	2008-01-02 02:00:00	1.26	104.052	0.208	0.206	0.318	130.493	0.001	8.639	29	2.665	4.513	0.77	57.002	0.165	1.001	127.815	0.242	5.767	5.571	3.771	3.482
470	584	2008-01-02 03:00:00	1.29	104.302	0.207	0.205	0.319	130.493	0.001	8.639	29	2.72	4.54	0.78	56.778	0.164	1.023	127.621	0.24	5.813	5.611	3.794	3.501
470	584	2008-01-02 04:00:00	1.31	104.677	0.207	0.204	0.319	130.493	0.001	8.639	29	2.767	4.57	0.79	56.877	0.163	1.04	127.53	0.239	5.85	5.643	3.826	3.531
