nx	ny	datetime	s_wht	meanwdir	peak_fr	mean_fr	ustar	wind_dir	cdg	wind_speed	depth	maxwh	maxwp	swe_h	meansdir	meansfr	wsea_h	wsead	wsea_fr	msp1	msp2	mwseap1	mwseap2
470	584	2003-01-01 00:00:00	1.09	113.061	0.172	0.197	0.237	161.379	0	6.827	29	2.224	4.661	0.91	93.09	0.172	0.594	157.11	0.3	5.512	5.333	3.016	2.777
470	584	2003-01-01 01:00:00	1.06	117.344	0.175	0.202	0.237	161.379	0.001	6.827	29	2.183	4.557	0.87	95.684	0.175	0.608	158.277	0.296	5.418	5.241	3.051	2.81
470	584	2003-01-01 02:00:00	1.05	122.179	0.178	0.208	0.261	161.614	0.001	7.387	29	2.145	4.445	0.81	94.874	0.176	0.671	157.448	0.282	5.394	5.211	3.197	2.939
470	584	2003-01-01 03:00:00	1.04	127.001	0.181	0.214	0.262	161.614	0.001	7.387	29	2.124	4.348	0.77	97.566	0.179	0.7	158.255	0.279	5.315	5.133	3.231	2.971
470	584	2003-01-01 04:00:00	1.03	130.966	0.189	0.218	0.262	161.614	0.001	7.387	29	2.111	4.281	0.74	100.438	0.181	0.716	158.958	0.277	5.234	5.048	3.269	3.007
470	584	2003-01-01 05:00:00	1.03	134.864	0.195	0.222	0.289	157.787	0.001	8.015	29	2.132	4.212	0.64	95.726	0.179	0.814	153.786	0.261	5.278	5.052	3.474	3.195
470	584	2003-01-01 06:00:00	1.05	138.216	0.202	0.225	0.29	157.787	0.001	8.015	29	2.166	4.166	0.61	98.663	0.181	0.851	153.942	0.258	5.208	4.974	3.515	3.236
470	584	2003-01-01 07:00:00	1.06	140.685	0.207	0.227	0.29	157.787	0.001	8.015	29	2.197	4.15	0.59	101.893	0.182	0.875	154.15	0.255	5.153	4.914	3.562	3.283
470	584	2003-01-01 08:00:00	1.09	143.208	0.21	0.229	0.335	156.4	0.001	8.992	29	2.286	4.135	0.51	98.089	0.181	0.967	152.065	0.247	5.172	4.923	3.688	3.4
470	584	2003-01-01 09:00:00	1.15	145.289	0.21	0.228	0.338	156.4	0.001	8.992	29	2.423	4.155	0.5	102.5	0.182	1.038	152.228	0.243	5.138	4.884	3.76	3.472
470	584	2003-01-01 10:00:00	1.2	146.586	0.209	0.226	0.338	156.4	0.001	8.992	29	2.547	4.209	0.51	108.27	0.182	1.087	152.312	0.238	5.145	4.89	3.842	3.553
470	584	2003-01-01 11:00:00	1.27	145.46	0.207	0.222	0.364	140.837	0.001	9.596	29	2.696	4.284	0.41	182.039	0.191	1.197	143.671	0.226	4.574	4.133	4.059	3.762
