nx	ny	datetime	s_wht	meanwdir	peak_fr	mean_fr	ustar	wind_dir	cdg	wind_speed	depth	maxwh	maxwp	swe_h	meansdir	meansfr	wsea_h	wsead	wsea_fr	msp1	msp2	mwseap1	mwseap2
470	584	2004-01-01 00:00:00	2.85	194.529	0.155	0.166	0.75	173.792	0	15.35	29	6.038	5.631	0.84	262.195	0.123	2.726	190.239	0.172	7.789	7.569	5.358	4.976
470	584	2004-01-01 01:00:00	3.04	192.316	0.152	0.161	0.744	173.792	0.002	15.35	29	6.461	5.816	0.85	255.895	0.12	2.925	188.557	0.166	7.99	7.767	5.565	5.181
470	584	2004-01-01 02:00:00	3.25	190.013	0.146	0.157	0.794	169.524	0.002	16.444	29	6.935	5.998	0.89	250.393	0.119	3.124	186.183	0.161	8.118	7.884	5.762	5.38
470	584	2004-01-01 03:00:00	3.45	187.378	0.143	0.153	0.795	169.524	0.002	16.444	29	7.295	6.163	0.91	246.776	0.118	3.327	183.862	0.156	8.224	7.994	5.943	5.556
470	584	2004-01-01 04:00:00	3.59	185.236	0.141	0.149	0.785	169.524	0.002	16.444	29	7.602	6.324	0.93	242.3	0.119	3.472	181.971	0.152	8.144	7.929	6.121	5.73
470	584	2004-01-01 05:00:00	3.7	182.879	0.139	0.146	0.788	163.626	0.002	16.708	29	7.789	6.457	0.87	240.24	0.12	3.594	180.106	0.148	7.95	7.626	6.287	5.891
470	584	2004-01-01 06:00:00	3.77	180.192	0.137	0.144	0.78	163.626	0.002	16.708	29	8.011	6.549	0.75	238.675	0.119	3.697	178.327	0.146	7.989	7.632	6.405	6.01
470	584	2004-01-01 07:00:00	3.83	178.215	0.134	0.143	0.771	163.626	0.002	16.708	29	8.084	6.629	0.66	236.19	0.118	3.769	176.945	0.144	7.999	7.594	6.501	6.106
470	584	2004-01-01 08:00:00	3.83	175.716	0.132	0.142	0.773	155.635	0.002	16.895	29	8.089	6.673	0.87	225.707	0.117	3.732	173.302	0.143	8.185	7.873	6.512	6.115
470	584	2004-01-01 09:00:00	3.84	172.669	0.132	0.142	0.776	155.635	0.002	16.895	29	8.114	6.682	0.8	223.573	0.116	3.753	170.626	0.143	8.304	8.03	6.528	6.127
470	584	2004-01-01 10:00:00	3.85	170.46	0.131	0.142	0.779	155.635	0.002	16.895	29	8.147	6.684	0.75	221.33	0.115	3.776	168.774	0.143	8.365	8.11	6.537	6.135
470	584	2004-01-01 11:00:00	3.79	168.061	0.132	0.142	0.731	149.91	0.002	16.076	29	8.002	6.67	0.81	219.225	0.118	3.698	165.842	0.143	8.131	7.855	6.517	6.112
470	584	2004-01-01 12:00:00	3.7	165.43	0.132	0.142	0.723	149.91	0.002	16.076	29	7.798	6.646	0.75	217.888	0.117	3.623	163.471	0.144	8.183	7.914	6.496	6.092
470	584	2004-01-01 13:00:00	3.67	163.362	0.132	0.143	0.722	149.91	0.002	16.076	29	7.704	6.628	0.7	216.433	0.117	3.602	161.691	0.144	8.182	7.901	6.485	6.082
470	584	2004-01-01 14:00:00	3.63	161.496	0.133	0.143	0.683	146.372	0.002	15.421	29	7.605	6.626	1.02	208.144	0.115	3.483	157.806	0.146	8.457	8.262	6.408	6.013
470	584	2004-01-01 15:00:00	3.6	159.659	0.133	0.143	0.676	146.372	0.002	15.421	29	7.545	6.636	0.99	207.409	0.115	3.46	156.064	0.146	8.466	8.275	6.422	6.03
470	584	2004-01-01 16:00:00	3.61	158.034	0.133	0.142	0.673	146.372	0.002	15.421	29	7.56	6.65	0.98	206.432	0.115	3.471	154.639	0.145	8.447	8.255	6.445	6.056
470	584	2004-01-01 17:00:00	3.55	155.925	0.133	0.142	0.608	140.502	0.002	14.307	29	7.446	6.669	1.23	202.031	0.119	3.332	150.158	0.146	8.141	7.968	6.411	6.024
470	584	2004-01-01 18:00:00	3.46	153.162	0.134	0.142	0.6	140.502	0.002	14.307	29	7.253	6.669	1.19	200.658	0.12	3.253	147.581	0.146	8.117	7.956	6.419	6.036
470	584	2004-01-01 19:00:00	3.41	149.996	0.136	0.143	0.598	140.502	0.002	14.307	29	7.17	6.647	1.13	198.379	0.121	3.223	145.125	0.146	8.045	7.89	6.415	6.035
470	584	2004-01-01 20:00:00	3.35	145.833	0.138	0.143	0.558	132.019	0.002	13.595	29	7.036	6.63	1.4	191.899	0.125	3.038	137.245	0.148	7.844	7.717	6.32	5.939
470	584	2004-01-01 21:00:00	3.27	141.103	0.139	0.144	0.556	132.019	0.002	13.595	29	6.901	6.608	1.31	188.437	0.125	3.001	133.862	0.148	7.795	7.676	6.326	5.946
470	584	2004-01-01 22:00:00	3.23	136.798	0.139	0.144	0.556	132.019	0.002	13.595	29	6.854	6.578	1.22	182.063	0.126	2.985	131.297	0.148	7.764	7.643	6.318	5.936
470	584	2004-01-01 23:00:00	3.13	132.768	0.139	0.145	0.502	128.232	0.002	12.54	29	6.648	6.556	1.3	162.749	0.125	2.854	128.709	0.15	7.786	7.638	6.249	5.865
470	584	2004-01-02 00:00:00	3.04	128.974	0.139	0.145	0.501	128.232	0.002	12.54	29	6.413	6.522	1.24	150.338	0.125	2.77	126.276	0.15	7.798	7.644	6.208	5.81
470	584	2004-01-02 01:00:00	2.97	125.762	0.138	0.146	0.503	128.232	0.002	12.54	29	6.193	6.483	1.2	138.091	0.124	2.723	124.277	0.151	7.812	7.651	6.164	5.757
470	584	2004-01-02 02:00:00	2.86	123.015	0.137	0.146	0.424	125.878	0.001	10.972	29	5.916	6.465	1.44	128.005	0.125	2.468	121.812	0.154	7.727	7.563	5.998	5.585
470	584	2004-01-02 03:00:00	2.74	120.578	0.135	0.146	0.421	125.878	0.001	10.972	29	5.624	6.452	1.4	120.458	0.125	2.356	120.609	0.155	7.747	7.576	5.962	5.546
470	584	2004-01-02 04:00:00	2.67	118.564	0.135	0.146	0.421	125.878	0.001	10.972	29	5.465	6.418	1.37	114.226	0.124	2.294	119.715	0.156	7.766	7.589	5.91	5.488
470	584	2004-01-02 05:00:00	2.6	116.677	0.134	0.147	0.389	120.028	0.001	10.291	29	5.298	6.387	1.47	114.872	0.125	2.145	117.343	0.16	7.736	7.544	5.764	5.345
470	584	2004-01-02 06:00:00	2.51	115.428	0.134	0.148	0.388	120.028	0.001	10.291	29	5.106	6.328	1.38	112.909	0.126	2.091	116.302	0.16	7.679	7.484	5.732	5.308
470	584	2004-01-02 07:00:00	2.42	114.971	0.134	0.15	0.389	120.028	0.001	10.291	29	4.943	6.236	1.28	112.546	0.127	2.055	115.715	0.161	7.58	7.378	5.689	5.261
470	584	2004-01-02 08:00:00	2.33	114.509	0.136	0.152	0.356	117.876	0.001	9.582	29	4.756	6.165	1.58	112.962	0.13	1.709	115.682	0.176	7.474	7.33	5.19	4.798
470	584	2004-01-02 09:00:00	2.23	114.181	0.139	0.153	0.355	117.876	0.001	9.582	29	4.567	6.088	1.47	112.56	0.131	1.68	115.253	0.176	7.404	7.25	5.191	4.796
470	584	2004-01-02 10:00:00	2.15	114.089	0.141	0.156	0.355	117.876	0.001	9.582	29	4.442	5.995	1.36	112.385	0.132	1.672	115.014	0.176	7.318	7.151	5.19	4.792
470	584	2004-01-02 11:00:00	2.05	113.992	0.143	0.156	0.275	124.158	0.001	7.819	29	4.222	5.96	1.79	111.936	0.143	0.996	120.044	0.228	6.786	6.646	4.007	3.707
470	584	2004-01-02 12:00:00	1.93	113.821	0.143	0.156	0.273	124.158	0.001	7.819	29	3.963	5.944	1.72	111.309	0.144	0.86	122.88	0.24	6.698	6.556	3.799	3.52
470	584	2004-01-02 13:00:00	1.83	113.463	0.144	0.157	0.273	124.158	0.001	7.819	29	3.758	5.889	1.63	110.493	0.144	0.834	123.151	0.242	6.671	6.523	3.775	3.494
470	584	2004-01-02 14:00:00	1.73	112.729	0.145	0.157	0.22	132.897	0.001	6.552	29	3.558	5.867	1.64	110.376	0.149	0.558	130.216	0.298	6.355	6.166	3.087	2.875
470	584	2004-01-02 15:00:00	1.64	111.446	0.146	0.156	0.219	132.897	0.001	6.552	29	3.345	5.868	1.56	108.603	0.148	0.526	131.392	0.301	6.355	6.16	3.055	2.842
470	584	2004-01-02 16:00:00	1.57	109.466	0.148	0.156	0.22	132.897	0.001	6.552	29	3.205	5.851	1.49	105.846	0.147	0.513	131.946	0.304	6.361	6.153	3.018	2.801
470	584	2004-01-02 17:00:00	1.52	106.226	0.152	0.153	0.188	142.971	0.001	5.762	29	3.096	5.873	1.47	103.003	0.148	0.382	140.497	0.35	6.202	5.942	2.62	2.433
470	584	2004-01-02 18:00:00	1.47	101.044	0.155	0.15	0.188	142.971	0.001	5.762	29	3.009	5.943	1.42	96.895	0.144	0.366	141.715	0.352	6.275	5.993	2.602	2.416
470	584	2004-01-02 19:00:00	1.44	93.177	0.157	0.146	0.188	142.971	0.001	5.762	29	2.958	6.034	1.39	87.46	0.14	0.362	142.242	0.355	6.387	6.07	2.579	2.393
470	584	2004-01-02 20:00:00	1.43	81.942	0.158	0.141	0.203	156.568	0.001	6.136	29	2.934	6.122	1.37	71.378	0.135	0.4	151.273	0.336	6.567	6.195	2.702	2.497
470	584	2004-01-02 21:00:00	1.42	67.284	0.16	0.138	0.204	156.568	0.001	6.136	29	2.925	6.188	1.36	53.223	0.13	0.422	153.413	0.338	6.718	6.303	2.69	2.488
470	584	2004-01-02 22:00:00	1.42	51.521	0.085	0.135	0.205	156.568	0.001	6.136	29	2.72	6.246	1.35	36.367	0.127	0.441	154.513	0.338	6.836	6.382	2.694	2.491
470	584	2004-01-02 23:00:00	1.42	40.189	0.087	0.135	0.246	174.988	0.001	7.097	29	2.723	6.193	1.33	23.99	0.125	0.506	162.984	0.311	6.914	6.379	2.879	2.641
470	584	2004-01-03 00:00:00	1.42	34.47	0.088	0.137	0.249	174.988	0.001	7.097	29	2.723	6.048	1.3	16.577	0.124	0.572	165.672	0.309	6.993	6.452	2.919	2.687
470	584	2004-01-03 01:00:00	1.41	32.567	0.089	0.139	0.251	174.988	0.001	7.097	29	2.696	5.9	1.27	13	0.124	0.619	168.347	0.303	6.992	6.442	2.98	2.745
470	584	2004-01-03 02:00:00	1.41	37.822	0.089	0.145	0.323	189.441	0.001	8.657	29	2.692	5.645	1.23	12.58	0.124	0.691	174.489	0.296	6.9	6.305	3.055	2.815
470	584	2004-01-03 03:00:00	1.43	75.66	0.09	0.153	0.333	189.441	0.001	8.657	29	2.733	5.334	1.17	11.524	0.125	0.818	178.253	0.284	6.905	6.326	3.2	2.952
470	584	2004-01-03 04:00:00	1.44	148.817	0.09	0.16	0.334	189.441	0.001	8.657	29	2.761	5.131	1.12	12.391	0.125	0.912	181.247	0.273	6.868	6.311	3.354	3.101
470	584	2004-01-03 05:00:00	1.48	172.781	0.09	0.169	0.406	190.037	0.002	10.155	29	2.838	4.939	1.04	11.047	0.124	1.055	182.415	0.258	6.966	6.459	3.548	3.286
470	584	2004-01-03 06:00:00	1.55	180.381	0.223	0.177	0.414	190.037	0.002	10.155	29	3.44	4.8	0.98	11.706	0.125	1.201	184.307	0.245	6.937	6.437	3.742	3.468
470	584	2004-01-03 07:00:00	1.6	184.112	0.206	0.181	0.41	190.037	0.002	10.155	29	3.423	4.789	0.93	11.309	0.126	1.304	185.831	0.233	6.873	6.379	3.937	3.65
470	584	2004-01-03 08:00:00	1.64	188.804	0.204	0.184	0.415	199.624	0.002	10.362	29	3.52	4.815	0.9	30.568	0.129	1.369	192.297	0.225	6.703	6.212	4.091	3.793
470	584	2004-01-03 09:00:00	1.68	194.303	0.203	0.185	0.412	199.624	0.002	10.362	29	3.677	4.846	0.84	29.044	0.128	1.448	196.027	0.217	6.731	6.247	4.243	3.939
470	584	2004-01-03 10:00:00	1.71	198.652	0.195	0.185	0.405	199.624	0.002	10.362	29	3.729	4.896	0.82	31.462	0.13	1.505	199.621	0.211	6.598	6.107	4.385	4.087
470	584	2004-01-03 11:00:00	1.81	203.54	0.188	0.185	0.483	204.869	0.002	11.937	29	3.89	4.945	0.74	13.004	0.126	1.653	202.895	0.205	6.886	6.388	4.528	4.225
470	584	2004-01-03 12:00:00	1.98	209.078	0.185	0.183	0.491	204.869	0.002	11.937	29	4.269	5.049	0.74	333.688	0.126	1.837	206.9	0.198	6.956	6.506	4.693	4.382
470	584	2004-01-03 13:00:00	2.14	214.287	0.176	0.178	0.491	204.869	0.002	11.937	29	4.59	5.226	0.83	289.734	0.13	1.976	209.713	0.191	7.003	6.664	4.871	4.554
470	584	2004-01-03 14:00:00	2.36	219.071	0.168	0.173	0.584	208.363	0.002	13.683	29	5.007	5.404	0.75	301.427	0.123	2.237	216.247	0.181	7.394	6.976	5.124	4.791
470	584	2004-01-03 15:00:00	2.57	221.797	0.159	0.169	0.598	208.363	0.002	13.683	29	5.431	5.565	0.85	283.687	0.124	2.424	217.925	0.176	7.568	7.267	5.269	4.925
470	584	2004-01-03 16:00:00	2.72	223.242	0.156	0.164	0.598	208.363	0.002	13.683	29	5.758	5.717	0.95	277.418	0.124	2.554	218.264	0.172	7.709	7.477	5.402	5.054
470	584	2004-01-03 17:00:00	2.84	226.609	0.155	0.16	0.534	228.063	0.002	12.704	29	6.012	5.882	0.9	222.878	0.133	2.695	226.729	0.164	6.796	6.303	5.684	5.328
470	584	2004-01-03 18:00:00	2.93	230.446	0.154	0.157	0.528	228.063	0.002	12.704	29	6.221	6.025	0.91	247.668	0.128	2.789	229.76	0.161	7.209	6.837	5.818	5.467
470	584	2004-01-03 19:00:00	3	232.283	0.154	0.155	0.528	228.063	0.002	12.704	29	6.369	6.097	0.92	259.759	0.126	2.855	230.986	0.159	7.467	7.169	5.883	5.529
470	584	2004-01-03 20:00:00	2.88	232.93	0.155	0.153	0.307	297.701	0.001	8.798	29	6.161	6.185	2.82	231.428	0.151	0.594	265.295	0.258	6.307	6.049	3.522	3.264
470	584	2004-01-03 21:00:00	2.61	232.115	0.132	0.153	0.307	297.701	0.001	8.798	29	5.364	6.203	2.55	230.157	0.15	0.578	268.731	0.25	6.349	6.121	3.666	3.418
470	584	2004-01-03 22:00:00	2.31	230.002	0.132	0.155	0.308	297.701	0.001	8.798	29	4.712	6.08	2.22	226.682	0.151	0.616	272.191	0.247	6.299	6.08	3.716	3.469
470	584	2004-01-03 23:00:00	2.01	228.144	0.158	0.158	0.294	307.222	0.001	8.464	29	4.223	5.909	1.93	223.392	0.153	0.571	283.812	0.259	6.181	5.969	3.543	3.31
470	584	2004-01-04 00:00:00	1.77	232.116	0.159	0.161	0.298	307.222	0.001	8.464	29	3.673	5.694	1.64	222.418	0.152	0.665	290.413	0.254	6.15	5.933	3.563	3.291
470	584	2004-01-04 01:00:00	1.65	243.337	0.162	0.165	0.304	307.222	0.001	8.464	29	3.388	5.489	1.45	225.92	0.15	0.785	295.005	0.249	6.187	5.969	3.623	3.328
470	584	2004-01-04 02:00:00	1.65	260.576	0.166	0.167	0.481	345.226	0.001	12.431	29	3.413	5.356	1.38	233.114	0.154	0.911	312.975	0.206	5.925	5.633	4.041	3.625
470	584	2004-01-04 03:00:00	1.78	283.903	0.169	0.167	0.502	345.226	0.002	12.431	29	3.723	5.28	1.31	241.919	0.147	1.209	317.686	0.2	6.142	5.843	4.262	3.848
